gamepadLx,gamepadLy,frontSensor,rightSensor,leftSensor,pwm,pwmLeft,pwmRight
128.0,128.0,197.7857601642609,28.525179147720337,22.464959621429443,0.0,0.0,0.0
128.0,128.0,197.7857601642609,28.525179147720337,22.464959621429443,0.0,0.0,0.0
128.0,128.0,198.06401467323303,28.525179147720337,22.464959621429443,0.0,0.0,0.0
128.0,128.0,198.06401467323303,28.508811235427856,22.448591709136963,0.0,0.0,0.0
128.0,128.0,198.06401467323303,28.508811235427856,22.464959621429443,0.0,0.0,0.0
128.0,128.0,198.14585423469543,28.508811235427856,22.448591709136963,0.0,0.0,0.0
128.0,128.0,198.14585423469543,28.59474277496338,22.448591709136963,0.0,0.0,0.0
128.0,128.0,198.14585423469543,28.59474277496338,22.448591709136963,0.0,0.0,0.0
128.0,128.0,198.14585423469543,28.6602144241333,22.50178742408752,0.0,0.0,0.0
128.0,128.0,198.14585423469543,28.6602144241333,22.550891160964966,0.0,0.0,0.0
128.0,128.0,198.14585423469543,28.6602144241333,22.550891160964966,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.541547060012817,22.604086875915524,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.6602144241333,22.550891160964966,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.6602144241333,22.550891160964966,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.6602144241333,22.550891160964966,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.647938489913937,22.50178742408752,0.0,0.0,0.0
128.0,128.0,197.5484254360199,28.541547060012817,22.50178742408752,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.525179147720337,22.550891160964966,0.0,0.0,0.0
128.0,128.0,197.5484254360199,28.508811235427856,22.497695446014404,0.0,0.0,0.0
128.0,128.0,197.5484254360199,28.508811235427856,22.497695446014404,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.508811235427856,22.36266016960144,0.0,0.0,0.0
128.0,128.0,197.56479334831235,28.508811235427856,22.36266016960144,0.0,0.0,0.0
128.0,128.0,197.56479334831235,28.508811235427856,22.36266016960144,0.0,0.0,0.0
128.0,128.0,197.46249389648435,28.45970749855041,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.4461259841919,28.508811235427856,22.432223796844486,0.0,0.0,0.0
128.0,128.0,197.4461259841919,28.508811235427856,22.432223796844486,0.0,0.0,0.0
128.0,128.0,197.46249389648435,28.508811235427856,22.432223796844486,0.0,0.0,0.0
128.0,128.0,197.56479334831235,28.521087169647213,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.56479334831235,28.664306402206417,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.56479334831235,28.729778051376343,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.4461259841919,28.729778051376343,22.64091467857361,0.0,0.0,0.0
128.0,128.0,197.4461259841919,28.664306402206417,22.64091467857361,0.0,0.0,0.0
128.0,128.0,197.4461259841919,28.664306402206417,22.65319061279297,0.0,0.0,0.0
128.0,128.0,197.35610246658325,28.75023794174194,22.64091467857361,0.0,0.0,0.0
128.0,128.0,197.44203400611877,28.836169481277462,22.432223796844486,0.0,0.0,0.0
128.0,128.0,197.59752917289734,28.836169481277462,22.583626985549927,0.0,0.0,0.0
128.0,128.0,197.61389708518982,28.836169481277462,22.583626985549927,0.0,0.0,0.0
128.0,128.0,197.61389708518982,28.75023794174194,22.583626985549927,0.0,0.0,0.0
128.0,128.0,197.61389708518982,28.75023794174194,22.415855884552002,0.0,0.0,0.0
128.0,128.0,197.44203400611877,28.6602144241333,22.383120059967045,0.0,0.0,0.0
128.0,128.0,197.44203400611877,28.525179147720337,22.415855884552002,0.0,0.0,0.0
128.0,128.0,197.44203400611877,28.525179147720337,22.3953959941864,0.0,0.0,0.0
128.0,128.0,197.44203400611877,28.562006950378414,22.383120059967045,0.0,0.0,0.0
128.0,128.0,197.44203400611877,28.562006950378414,22.383120059967045,0.0,0.0,0.0
128.0,128.0,197.66709280014035,28.562006950378414,22.3953959941864,0.0,0.0,0.0
128.0,128.0,197.7202885150909,28.562006950378414,22.36266016960144,0.0,0.0,0.0
128.0,128.0,197.66709280014035,28.525179147720337,22.36266016960144,0.0,0.0,0.0
128.0,128.0,197.44203400611877,28.525179147720337,22.36266016960144,0.0,0.0,0.0
128.0,128.0,197.44203400611877,28.525179147720337,22.36266016960144,0.0,0.0,0.0
128.0,128.0,197.44203400611877,28.525179147720337,22.36266016960144,0.0,0.0,0.0
128.0,128.0,197.66709280014035,28.562006950378414,22.3953959941864,0.0,0.0,0.0
128.0,128.0,197.66709280014035,28.562006950378414,22.3953959941864,0.0,0.0,0.0
128.0,128.0,197.66709280014035,28.5783748626709,22.36266016960144,0.0,0.0,0.0
128.0,128.0,197.49522972106934,28.5783748626709,22.34629225730896,0.0,0.0,0.0
128.0,128.0,197.49522972106934,28.5783748626709,22.34629225730896,0.0,0.0,0.0
128.0,128.0,197.49522972106934,28.5783748626709,22.34629225730896,0.0,0.0,0.0
128.0,128.0,197.49522972106934,28.488351345062256,22.428131818771362,0.0,0.0,0.0
128.0,128.0,197.49522972106934,28.729778051376343,22.428131818771362,0.0,0.0,0.0
128.0,128.0,197.5811612606049,28.729778051376343,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.49522972106934,28.729778051376343,22.50178742408752,0.0,0.0,0.0
128.0,128.0,197.49522972106934,28.729778051376343,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.49522972106934,28.488351345062256,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.5811612606049,28.488351345062256,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.6302649974823,28.488351345062256,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.6302649974823,28.488351345062256,22.50178742408752,0.0,0.0,0.0
128.0,128.0,197.66709280014035,28.488351345062256,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.6302649974823,28.488351345062256,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.6302649974823,28.455615520477295,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.66709280014035,28.30012035369873,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.7325644493103,28.30012035369873,22.448591709136963,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.30012035369873,22.30946445465088,0.0,0.0,0.0
128.0,128.0,197.7325644493103,28.30012035369873,22.30946445465088,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.30012035369873,22.260360717773438,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.455615520477295,22.260360717773438,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.386051893234253,22.260360717773438,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.30012035369873,22.260360717773438,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.30012035369873,22.30946445465088,0.0,0.0,0.0
128.0,128.0,197.76939225196836,28.181452989578247,22.207165002822876,0.0,0.0,0.0
128.0,128.0,197.71619653701782,28.181452989578247,22.207165002822876,0.0,0.0,0.0
128.0,128.0,197.71619653701782,28.386051893234253,22.207165002822876,0.0,0.0,0.0
128.0,128.0,197.71619653701782,28.402419805526733,22.207165002822876,0.0,0.0,0.0
128.0,128.0,197.61389708518982,28.386051893234253,22.190797090530396,0.0,0.0,0.0
128.0,128.0,197.71619653701782,28.402419805526733,22.207165002822876,0.0,0.0,0.0
128.0,128.0,197.71619653701782,28.402419805526733,22.34629225730896,0.0,0.0,0.0
128.0,128.0,197.71619653701782,28.402419805526733,22.34629225730896,0.0,0.0,0.0
128.0,128.0,197.71619653701782,28.402419805526733,22.34629225730896,0.0,0.0,0.0
128.0,128.0,197.73665642738342,28.406511783599854,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.69982862472534,28.406511783599854,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.69982862472534,28.406511783599854,22.34629225730896,0.0,0.0,0.0
128.0,128.0,197.73665642738342,28.406511783599854,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.69982862472534,28.406511783599854,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.69982862472534,28.406511783599854,22.313556432724,0.0,0.0,0.0
128.0,128.0,197.73665642738342,28.406511783599854,22.313556432724,0.0,0.0,0.0
