gamepadLx,gamepadLy,frontSensor,rightSensor,leftSensor,pwm,pwmLeft,pwmRight,steerLeft,steerRight
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,110.13149785995483,12.56237268447876,40.38782358169556,-1.0,0.0,0.0,0.0,0.0
