gamepadLx,gamepadLy,frontSensor,rightSensor,leftSensor,pwm,pwmLeft,pwmRight,steerLeft,steerRight,ticksLeft,ticksRight
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.48866009712219,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.34629225730896,26.483282089233395,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.34629225730896,26.36461472511292,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.088497638702393,26.36461472511292,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.088497638702393,26.36461472511292,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.088497638702393,26.36461472511292,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.088497638702393,26.36461472511292,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.088497638702393,26.36461472511292,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.088497638702393,26.36461472511292,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.088497638702393,26.36461472511292,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.52139592170715,22.088497638702393,26.36461472511292,-1.0,0.0,0.0,0.0,0.0,0,0
