gamepadLx,gamepadLy,frontSensor,rightSensor,leftSensor,pwm,pwmLeft,pwmRight,steerLeft,steerRight,ticksLeft,ticksRight
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.72599482536316,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.739122152328495,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.60167813301086,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.72275424003601,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.74645471572876,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.706386327743527,25.349804162979122,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.706386327743527,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,105.67533373832703,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.72275424003601,25.951324939727783,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
128.0,128.0,104.76282262802124,22.706386327743527,25.984060764312744,-1.0,0.0,0.0,0.0,0.0,0,0
