gamepadLx,gamepadLy,frontSensor,rightSensor,leftSensor,pwm,pwmLeft,pwmRight,steerLeft,steerRight
128.0,99.0,114.1544579029083,24.49458074569702,23.34064292907715,0.07748262765374814,,,0.0,0.0
128.0,0.0,114.46108345985412,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.49458074569702,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.58378586769104,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.672990989685054,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.7102167248726,24.52803266644478,23.34064292907715,0.9423426642283592,,,0.0,0.0
128.0,0.0,114.74854491949083,24.550333946943283,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.578210547566414,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.611662468314172,23.34064292907715,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.65068970918655,23.341000977158547,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.695292270183565,23.34171707332134,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.7454701513052,23.342791217565537,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.796841526031493,23.34422340989113,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.84821290075779,23.34601365029812,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.899584275484084,23.348161938786504,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.950955650210382,23.350668275356295,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.986794558167457,23.353532660007478,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,25.007100999355316,23.35675509274006,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,25.00629965364933,23.36033557355404,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.978815200924874,23.364274102449418,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.92464764118195,23.368570679426195,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.843796974420545,23.373225304484368,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.73626320064068,23.37823797762394,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.602046319842337,23.38360869884491,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.44114633202553,23.38897942006588,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.253563237190246,23.39399209320545,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,24.039297035336492,23.398646718263624,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,23.79834772646427,23.4029432952404,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,23.535097137093544,23.40652377605438,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,23.250738760828973,23.409388160705564,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,22.9663803845644,23.411536449193953,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,22.682022008299825,23.412968641519544,1.0,,,0.0,0.0
128.0,0.0,114.76770901679994,22.413196098804477,23.413684737682342,1.0,,,0.0,0.0
