gamepadLx,gamepadLy,frontSensor,rightSensor,leftSensor,pwm,pwmLeft,pwmRight,steerLeft,steerRight
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25734043121338,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25843162536621,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.25952281951905,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.26061401367187,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.2617052078247,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.26279640197754,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.53193163871764,25.349804162979122,87.26388759613037,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.56384906768797,25.349804162979122,87.26497879028321,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.59576649665831,25.349804162979122,87.27752752304077,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.62768392562865,25.349804162979122,87.29007625579834,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.65960135459899,25.349804162979122,87.3026249885559,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.69151878356932,25.349804162979122,87.31517372131347,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.72343621253965,25.349804162979122,87.32772245407105,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.75535364151,25.349804162979122,87.34027118682862,-1.0,0.0,0.0,0.0,0.0
128.0,128.0,113.78727107048033,25.349804162979122,87.35281991958618,-1.0,0.0,0.0,0.0,0.0
